,Location,Distance from Job Hub (km),Compound Name,Year Unit Ready,House Area (sqm),Number of Bedrooms,Number of Bathrooms,Swimming Pool,Gym,Modern Kitchen,Energy Efficient,Garage,Proximity to Schools,Public Transportation,Price
323,Hadayek Al Obba,20,,2025,126,2,1,0,0,0,0,0,0,0,1006512
324,5th Settlement,2,Compound_46,2024,215,6,3,0,1,1,0,1,1,0,15388545
325,Sheikh Zayed,4,Compound_31,2027,368,6,2,0,1,0,0,1,0,1,8916629
326,Sheikh Zayed,4,Compound_13,2023,238,4,4,0,1,0,0,0,0,0,9668891
327,5th Settlement,1,Compound_82,2024,211,3,3,0,0,0,1,0,0,1,12440823
328,5th Settlement,1,Compound_3,2023,269,6,3,1,0,1,0,0,0,0,14692652
329,Ain Shams,14,,2026,167,2,1,0,0,0,0,0,0,0,1024335
330,Hadayek Al Ahram,9,,2029,207,2,2,0,0,0,0,0,0,0,3190545
331,New Capitol,3,Compound_50,2028,235,3,2,0,1,1,0,0,1,0,9129440
332,Sheikh Zayed,4,Compound_98,2028,303,4,4,0,1,0,0,0,1,0,7355226
333,5th Settlement,4,Compound_28,2027,119,3,4,1,0,1,0,1,0,0,7636565
334,New Capitol,2,Compound_76,2028,306,3,2,1,0,1,1,0,0,0,11762388
335,Zahraa Al Maadi,6,,2029,217,2,2,0,0,0,0,0,0,0,1492887
336,Nasr City,7,,2029,230,4,1,0,0,0,0,0,0,0,2816710
337,Ain Shams,20,,2024,115,3,1,0,0,0,0,0,0,0,1397408
338,Ain Shams,11,,2027,101,2,1,0,0,0,0,0,0,0,1196397
339,New Capitol,4,Compound_45,2029,353,6,3,0,0,1,0,0,1,0,4874775
340,Hadayek Al Obba,17,,2026,114,2,1,0,0,0,0,0,0,0,1236533
341,Hadayek Al Obba,14,,2027,170,3,1,0,0,0,0,0,0,0,1137475
342,5th Settlement,3,Compound_26,2025,271,3,2,0,0,0,0,1,0,0,8823125
343,Hadayek Al Obba,18,,2028,100,2,1,0,0,0,0,0,0,0,1036774
344,Hadayek Al Ahram,10,,2028,233,3,1,0,0,0,0,0,0,0,1505256
345,New Capitol,5,Compound_21,2026,218,5,2,1,1,0,0,0,0,1,7351187
346,Zahraa Al Maadi,6,,2022,247,3,1,0,0,0,0,0,0,0,2589108
347,Hadayek Al Ahram,10,,2027,165,2,1,0,0,0,0,0,0,0,1680991
348,Ain Shams,19,,2027,174,2,1,0,0,0,0,0,0,0,1238742
349,5th Settlement,4,Compound_74,2028,325,3,4,0,0,0,0,1,0,1,5897876
350,Nasr City,8,,2028,93,2,2,0,0,0,0,0,0,0,2167783
351,Sheikh Zayed,1,Compound_39,2022,140,6,3,0,0,0,1,1,0,0,9676181
352,New Capitol,2,Compound_27,2026,300,6,4,0,1,0,0,0,0,1,6186844
353,5th Settlement,3,Compound_62,2023,389,6,2,0,1,1,0,0,0,0,15320740
354,Hadayek Al Ahram,8,,2028,261,2,2,0,0,0,0,0,0,0,1254572
355,5th Settlement,3,Compound_50,2028,314,6,4,1,1,1,0,1,0,0,6338942
356,Zahraa Al Maadi,8,,2024,279,3,1,0,0,0,0,0,0,0,2020182
357,Zahraa Al Maadi,8,,2024,162,4,1,0,0,0,0,0,0,0,2034313
358,Nasr City,9,,2023,295,2,1,0,0,0,0,0,0,0,4166310
359,New Capitol,3,Compound_96,2027,173,4,2,0,0,0,1,1,1,0,11987721
360,Ain Shams,13,,2022,100,3,1,0,0,0,0,0,0,0,1426495
361,Ain Shams,20,,2027,107,1,1,0,0,0,0,0,0,0,1151746
362,Hadayek Al Obba,11,,2028,168,2,1,0,0,0,0,0,0,0,1124585
363,New Capitol,1,Compound_61,2025,393,4,2,0,0,0,1,1,0,0,6379249
364,Hadayek Al Obba,15,,2029,134,1,1,0,0,0,0,0,0,0,1057953
365,New Capitol,3,Compound_100,2026,236,5,2,1,0,0,0,1,0,0,8355279
366,Zahraa Al Maadi,8,,2024,120,4,2,0,0,0,0,0,0,0,2370055
367,Zahraa Al Maadi,10,,2028,226,3,1,0,0,0,0,0,0,0,3373488
368,Hadayek Al Ahram,7,,2026,135,2,1,0,0,0,0,0,0,0,1803586
369,Zahraa Al Maadi,10,,2023,282,2,2,0,0,0,0,0,0,0,4253047
370,5th Settlement,1,Compound_53,2029,271,4,4,0,0,0,0,1,0,1,5120427
371,Nasr City,6,,2028,94,2,2,0,0,0,0,0,0,0,2362575
372,Hadayek Al Ahram,7,,2029,154,3,1,0,0,0,0,0,0,0,1551894
373,Hadayek Al Ahram,10,,2025,129,3,2,0,0,0,0,0,0,0,2643332
374,Hadayek Al Ahram,10,,2029,255,2,1,0,0,0,0,0,0,0,1653699
375,New Capitol,4,Compound_75,2026,373,3,3,1,0,1,1,0,0,0,7982861
376,New Capitol,3,Compound_79,2028,116,5,2,1,1,0,1,0,0,0,10826652
377,Nasr City,10,,2025,98,2,2,0,0,0,0,0,0,0,3636874
378,Hadayek Al Obba,17,,2022,187,3,1,0,0,0,0,0,0,0,1258150
379,Nasr City,9,,2025,198,2,2,0,0,0,0,0,0,0,1579974
380,5th Settlement,2,Compound_37,2028,138,4,4,1,0,1,0,0,0,1,6145369
381,Sheikh Zayed,3,Compound_44,2026,268,5,2,1,0,1,0,1,0,0,10352299
382,Zahraa Al Maadi,6,,2023,229,2,1,0,0,0,0,0,0,0,3736351
383,Hadayek Al Ahram,10,,2027,189,2,1,0,0,0,0,0,0,0,1443274
384,Hadayek Al Obba,12,,2027,122,1,1,0,0,0,0,0,0,0,916722
385,New Capitol,5,Compound_93,2027,297,4,4,1,0,1,0,0,0,0,7924716
386,Hadayek Al Ahram,7,,2028,149,4,1,0,0,0,0,0,0,0,2438680
387,Nasr City,6,,2029,215,4,1,0,0,0,0,0,0,0,1880067
388,Sheikh Zayed,5,Compound_69,2028,116,4,3,1,0,0,0,0,0,0,5383727
389,Hadayek Al Obba,11,,2026,166,1,1,0,0,0,0,0,0,0,1265021
390,Nasr City,7,,2027,145,4,2,0,0,0,0,0,0,0,2421139
391,Ain Shams,13,,2023,119,2,1,0,0,0,0,0,0,0,1262058
392,Hadayek Al Obba,11,,2025,112,2,1,0,0,0,0,0,0,0,1254883
393,Zahraa Al Maadi,8,,2022,150,3,1,0,0,0,0,0,0,0,3184385
394,Ain Shams,19,,2026,56,1,1,0,0,0,0,0,0,0,872585
395,5th Settlement,1,Compound_48,2025,233,4,2,1,0,0,0,0,0,1,11548251
396,New Capitol,3,Compound_84,2028,217,5,3,0,0,0,0,0,1,1,5907476
397,Nasr City,9,,2028,159,4,2,0,0,0,0,0,0,0,2089239
398,Hadayek Al Obba,20,,2026,149,3,1,0,0,0,0,0,0,0,1325636
399,Nasr City,8,,2029,203,4,2,0,0,0,0,0,0,0,1782795
400,5th Settlement,4,Compound_72,2022,191,5,3,1,0,0,0,0,0,0,13087484
401,Sheikh Zayed,1,Compound_89,2022,385,4,4,0,1,1,0,0,1,1,7940300
402,Zahraa Al Maadi,6,,2024,134,2,2,0,0,0,0,0,0,0,3838955
403,Hadayek Al Ahram,8,,2025,235,3,2,0,0,0,0,0,0,0,2096414
404,Hadayek Al Ahram,10,,2023,187,4,1,0,0,0,0,0,0,0,2864622
405,5th Settlement,2,Compound_32,2028,283,6,3,0,0,1,0,0,1,0,9279708
406,Sheikh Zayed,2,Compound_53,2025,279,6,2,0,1,1,0,0,1,0,7047272
407,Sheikh Zayed,4,Compound_55,2024,385,5,4,0,0,0,0,0,0,0,8948973
408,Zahraa Al Maadi,6,,2024,270,2,1,0,0,0,0,0,0,0,2732460
409,Ain Shams,15,,2024,175,2,1,0,0,0,0,0,0,0,1295754
410,5th Settlement,3,Compound_64,2029,283,3,4,1,1,0,1,1,0,0,10129657
411,Ain Shams,19,,2022,172,2,1,0,0,0,0,0,0,0,1164399
412,Nasr City,7,,2028,214,3,2,0,0,0,0,0,0,0,2512812
413,Hadayek Al Obba,18,,2027,58,3,1,0,0,0,0,0,0,0,965440
414,Ain Shams,18,,2025,65,2,1,0,0,0,0,0,0,0,1134803
415,New Capitol,5,Compound_73,2029,238,3,2,0,0,0,0,1,0,0,7104291
416,Zahraa Al Maadi,9,,2029,175,2,2,0,0,0,0,0,0,0,2269875
417,Hadayek Al Obba,19,,2029,149,1,1,0,0,0,0,0,0,0,1068146
418,Hadayek Al Ahram,7,,2029,102,4,1,0,0,0,0,0,0,0,2105671
419,Ain Shams,11,,2027,158,2,1,0,0,0,0,0,0,0,948498
420,New Capitol,2,Compound_56,2027,107,3,3,0,0,0,1,0,0,1,10906871
421,5th Settlement,3,Compound_55,2023,229,5,2,0,0,0,0,0,0,0,13533751
422,Hadayek Al Obba,20,,2028,106,1,1,0,0,0,0,0,0,0,825788
423,5th Settlement,2,Compound_54,2023,286,5,3,0,0,0,1,1,1,0,8149517
424,Ain Shams,18,,2028,179,3,1,0,0,0,0,0,0,0,1117624
425,Ain Shams,16,,2022,153,2,1,0,0,0,0,0,0,0,1204103
426,Sheikh Zayed,4,Compound_69,2027,208,3,2,0,0,1,0,0,0,1,10177650
427,Hadayek Al Obba,16,,2025,149,1,1,0,0,0,0,0,0,0,1190392
428,Hadayek Al Obba,15,,2029,175,2,1,0,0,0,0,0,0,0,1046055
429,5th Settlement,1,Compound_1,2026,278,4,4,0,0,0,0,0,0,1,10266419
430,Ain Shams,15,,2026,56,2,1,0,0,0,0,0,0,0,974178
431,Nasr City,9,,2029,220,4,2,0,0,0,0,0,0,0,1534008
432,Hadayek Al Obba,12,,2024,50,3,1,0,0,0,0,0,0,0,1052769
433,New Capitol,2,Compound_53,2028,266,5,2,0,0,1,1,0,0,0,8125619
434,Hadayek Al Ahram,9,,2028,92,2,2,0,0,0,0,0,0,0,1801280
435,New Capitol,3,Compound_100,2028,164,5,4,0,0,0,0,1,0,0,5052903
436,New Capitol,2,Compound_90,2025,188,3,4,0,1,1,1,0,0,0,13425500
437,Nasr City,9,,2027,221,3,2,0,0,0,0,0,0,0,1687046
438,Sheikh Zayed,5,Compound_19,2022,354,5,3,0,0,0,0,0,1,0,15419320
439,Hadayek Al Obba,13,,2027,154,3,1,0,0,0,0,0,0,0,1265215
440,Nasr City,9,,2023,258,2,2,0,0,0,0,0,0,0,2324030
441,Hadayek Al Obba,14,,2022,78,1,1,0,0,0,0,0,0,0,1174942
442,Hadayek Al Obba,12,,2025,159,3,1,0,0,0,0,0,0,0,1384701
443,Nasr City,9,,2027,110,2,1,0,0,0,0,0,0,0,1424296
444,5th Settlement,1,Compound_74,2027,148,3,3,0,1,0,0,1,1,0,12021596
445,Ain Shams,13,,2028,177,1,1,0,0,0,0,0,0,0,881690
446,Hadayek Al Obba,15,,2029,97,3,1,0,0,0,0,0,0,0,851664
447,Ain Shams,17,,2026,124,2,1,0,0,0,0,0,0,0,1034416
448,Hadayek Al Ahram,8,,2022,176,2,2,0,0,0,0,0,0,0,1605283
449,Sheikh Zayed,3,Compound_35,2024,296,5,2,1,0,0,0,0,1,0,10395239
450,Hadayek Al Ahram,10,,2022,117,4,1,0,0,0,0,0,0,0,3433508
451,Hadayek Al Ahram,9,,2022,90,3,1,0,0,0,0,0,0,0,2774895
452,Hadayek Al Obba,16,,2024,93,2,1,0,0,0,0,0,0,0,1211059
453,Ain Shams,17,,2029,54,2,1,0,0,0,0,0,0,0,847575
454,Hadayek Al Obba,11,,2027,58,2,1,0,0,0,0,0,0,0,1084175
455,New Capitol,5,Compound_47,2025,124,6,3,0,0,0,0,0,0,0,10242778
456,Hadayek Al Obba,20,,2029,116,2,1,0,0,0,0,0,0,0,919969
457,Hadayek Al Obba,12,,2024,114,2,1,0,0,0,0,0,0,0,1248378
458,Zahraa Al Maadi,10,,2028,195,2,1,0,0,0,0,0,0,0,2012710
459,Hadayek Al Ahram,9,,2022,205,2,1,0,0,0,0,0,0,0,3708684
460,Hadayek Al Obba,16,,2024,162,3,1,0,0,0,0,0,0,0,1180769
461,Hadayek Al Ahram,7,,2027,260,4,1,0,0,0,0,0,0,0,2500382
462,Nasr City,7,,2028,95,2,1,0,0,0,0,0,0,0,1506183
463,Zahraa Al Maadi,6,,2028,177,4,2,0,0,0,0,0,0,0,2380225
464,Hadayek Al Obba,19,,2025,193,1,1,0,0,0,0,0,0,0,1265545
465,Hadayek Al Ahram,8,,2026,170,3,1,0,0,0,0,0,0,0,3139096
466,Hadayek Al Ahram,7,,2027,220,4,2,0,0,0,0,0,0,0,3781766
467,Ain Shams,14,,2022,129,3,1,0,0,0,0,0,0,0,1188134
468,Sheikh Zayed,3,Compound_86,2025,132,3,4,0,1,1,0,0,0,0,14374195
469,Nasr City,6,,2023,183,2,2,0,0,0,0,0,0,0,1713371
470,Ain Shams,13,,2027,140,1,1,0,0,0,0,0,0,0,951051
471,New Capitol,4,Compound_29,2027,313,4,4,1,0,0,0,0,1,0,8942417
472,Sheikh Zayed,5,Compound_61,2029,299,6,4,0,1,0,0,0,0,0,4870596
473,Ain Shams,14,,2026,176,3,1,0,0,0,0,0,0,0,1124437
474,Nasr City,10,,2023,169,2,2,0,0,0,0,0,0,0,2999411
475,Hadayek Al Obba,16,,2023,108,3,1,0,0,0,0,0,0,0,1401905
476,Ain Shams,18,,2023,146,2,1,0,0,0,0,0,0,0,1214878
477,Zahraa Al Maadi,10,,2022,283,4,2,0,0,0,0,0,0,0,1670636
478,Hadayek Al Ahram,7,,2022,245,2,2,0,0,0,0,0,0,0,3559478
479,5th Settlement,3,Compound_80,2028,258,6,3,0,0,0,0,0,0,0,7351012
480,Zahraa Al Maadi,6,,2027,146,2,2,0,0,0,0,0,0,0,1286684
481,Hadayek Al Ahram,6,,2024,249,3,2,0,0,0,0,0,0,0,4294512
482,Hadayek Al Obba,11,,2027,118,3,1,0,0,0,0,0,0,0,1110080
483,New Capitol,5,Compound_12,2025,252,4,2,0,0,0,0,0,0,1,9806121
484,Zahraa Al Maadi,6,,2026,124,2,1,0,0,0,0,0,0,0,2553975
485,Ain Shams,16,,2026,64,1,1,0,0,0,0,0,0,0,951088
486,5th Settlement,1,Compound_24,2029,149,5,3,1,0,0,1,1,1,0,9561384
487,Hadayek Al Obba,11,,2027,145,1,1,0,0,0,0,0,0,0,1012073
488,Ain Shams,12,,2028,198,2,1,0,0,0,0,0,0,0,1087296
489,Ain Shams,14,,2025,186,3,1,0,0,0,0,0,0,0,1132889
490,Sheikh Zayed,2,Compound_51,2025,129,6,2,1,0,0,0,1,0,0,14392879
491,5th Settlement,5,Compound_53,2025,187,3,3,1,0,1,0,1,0,1,6552687
492,Zahraa Al Maadi,10,,2029,81,3,1,0,0,0,0,0,0,0,2109992
493,Zahraa Al Maadi,10,,2023,210,3,1,0,0,0,0,0,0,0,3130434
494,Zahraa Al Maadi,10,,2025,122,2,2,0,0,0,0,0,0,0,3496462
495,Zahraa Al Maadi,6,,2027,162,2,2,0,0,0,0,0,0,0,1611838
496,Hadayek Al Ahram,8,,2026,117,3,1,0,0,0,0,0,0,0,2665168
497,Ain Shams,13,,2026,149,3,1,0,0,0,0,0,0,0,1115088
498,Hadayek Al Obba,17,,2023,138,1,1,0,0,0,0,0,0,0,1374622
499,Hadayek Al Ahram,10,,2025,229,2,2,0,0,0,0,0,0,0,3329549
500,Zahraa Al Maadi,6,,2029,177,3,1,0,0,0,0,0,0,0,1823259
501,Zahraa Al Maadi,9,,2024,213,3,2,0,0,0,0,0,0,0,2489777
502,Hadayek Al Ahram,8,,2022,154,3,2,0,0,0,0,0,0,0,3769071
503,Sheikh Zayed,3,Compound_14,2026,242,4,2,0,1,0,0,1,1,1,7852931
504,Sheikh Zayed,2,Compound_89,2023,118,3,4,0,1,0,0,0,0,1,13500499
505,Hadayek Al Obba,18,,2026,105,3,1,0,0,0,0,0,0,0,1080096
506,Ain Shams,17,,2027,64,1,1,0,0,0,0,0,0,0,1072190
507,Zahraa Al Maadi,10,,2029,86,2,1,0,0,0,0,0,0,0,2433638
508,Nasr City,8,,2029,200,3,2,0,0,0,0,0,0,0,2264385
509,Ain Shams,17,,2025,158,1,1,0,0,0,0,0,0,0,1054772
510,Sheikh Zayed,1,Compound_96,2023,381,6,4,0,0,0,1,1,0,0,11640485
511,5th Settlement,4,Compound_86,2027,377,5,4,0,0,0,0,1,0,1,7667912
512,Nasr City,6,,2025,226,3,1,0,0,0,0,0,0,0,2470323
513,Zahraa Al Maadi,8,,2024,227,2,1,0,0,0,0,0,0,0,2375364
514,Hadayek Al Obba,11,,2026,172,1,1,0,0,0,0,0,0,0,1270235
515,Sheikh Zayed,1,Compound_12,2024,294,4,3,0,0,0,1,0,1,1,8449264
516,Sheikh Zayed,2,Compound_8,2029,365,5,3,1,1,1,0,1,0,0,8457946
517,Sheikh Zayed,2,Compound_1,2022,349,5,4,1,1,0,1,0,0,0,15001251
518,Ain Shams,20,,2025,98,3,1,0,0,0,0,0,0,0,1341557
519,Sheikh Zayed,3,Compound_27,2028,318,3,4,0,0,0,0,0,0,0,11024934
520,Sheikh Zayed,3,Compound_70,2029,396,3,4,0,0,0,0,0,1,1,5364472
521,Nasr City,8,,2028,261,4,1,0,0,0,0,0,0,0,1700158
522,New Capitol,1,Compound_63,2027,164,3,4,1,0,0,0,0,0,0,9119235
523,Hadayek Al Obba,18,,2024,103,2,1,0,0,0,0,0,0,0,1167646
524,5th Settlement,4,Compound_55,2022,172,6,3,1,0,0,1,1,0,0,7845997
525,Nasr City,10,,2023,236,4,1,0,0,0,0,0,0,0,3736429
526,Zahraa Al Maadi,6,,2029,284,3,1,0,0,0,0,0,0,0,1301494
527,New Capitol,3,Compound_6,2026,184,6,4,1,1,1,0,0,0,1,13666658
528,Hadayek Al Obba,14,,2028,97,3,1,0,0,0,0,0,0,0,898836
529,Hadayek Al Obba,11,,2025,137,2,1,0,0,0,0,0,0,0,1329128
530,New Capitol,2,Compound_7,2028,338,3,4,0,0,0,0,0,1,0,10402676
531,Hadayek Al Ahram,8,,2023,162,4,1,0,0,0,0,0,0,0,1694570
532,5th Settlement,4,Compound_24,2023,146,3,4,1,1,0,1,1,0,0,9603551
533,Zahraa Al Maadi,7,,2029,145,4,1,0,0,0,0,0,0,0,2583709
534,Nasr City,10,,2022,181,2,1,0,0,0,0,0,0,0,2096334
535,Hadayek Al Obba,17,,2026,91,1,1,0,0,0,0,0,0,0,1135063
536,Sheikh Zayed,1,Compound_4,2022,396,5,3,0,1,0,0,0,0,1,14676327
537,Hadayek Al Ahram,9,,2029,118,2,2,0,0,0,0,0,0,0,1377876
538,Zahraa Al Maadi,6,,2023,213,3,1,0,0,0,0,0,0,0,3375673
539,Hadayek Al Obba,19,,2028,77,2,1,0,0,0,0,0,0,0,995922
540,Ain Shams,19,,2025,78,3,1,0,0,0,0,0,0,0,1288629
541,Hadayek Al Obba,15,,2024,161,1,1,0,0,0,0,0,0,0,1215380
542,New Capitol,5,Compound_66,2027,237,5,2,0,0,0,0,1,1,0,7111671
543,Nasr City,10,,2029,191,3,2,0,0,0,0,0,0,0,1087930
544,Nasr City,8,,2027,109,2,2,0,0,0,0,0,0,0,1103655
545,Hadayek Al Obba,13,,2028,62,3,1,0,0,0,0,0,0,0,1133733
546,Zahraa Al Maadi,7,,2026,261,2,1,0,0,0,0,0,0,0,3184335
547,New Capitol,3,Compound_89,2025,164,4,4,0,0,0,0,1,1,1,9517158
548,New Capitol,1,Compound_77,2029,309,5,2,0,1,0,0,1,1,0,5245005
549,Zahraa Al Maadi,9,,2023,82,3,1,0,0,0,0,0,0,0,3801521
550,Ain Shams,15,,2028,145,1,1,0,0,0,0,0,0,0,1068165
551,5th Settlement,2,Compound_9,2029,279,5,4,0,0,1,0,0,1,1,11232489
552,Hadayek Al Obba,12,,2024,140,1,1,0,0,0,0,0,0,0,1353060
553,5th Settlement,2,Compound_42,2024,257,6,4,0,0,0,1,0,1,0,7225160
554,5th Settlement,1,Compound_37,2024,140,4,3,0,0,1,1,0,1,0,14613217
555,Nasr City,6,,2026,156,3,2,0,0,0,0,0,0,0,2948122
556,Sheikh Zayed,5,Compound_64,2025,345,5,4,0,0,0,1,0,0,0,6477186
557,Hadayek Al Obba,15,,2027,96,2,1,0,0,0,0,0,0,0,1205147
558,Zahraa Al Maadi,7,,2029,180,3,1,0,0,0,0,0,0,0,1861395
559,Hadayek Al Obba,18,,2024,53,1,1,0,0,0,0,0,0,0,1213684
560,5th Settlement,4,Compound_72,2023,237,4,3,0,0,0,1,0,0,1,8989653
561,Zahraa Al Maadi,7,,2023,219,4,1,0,0,0,0,0,0,0,2919952
562,Hadayek Al Obba,19,,2027,159,1,1,0,0,0,0,0,0,0,1104154
563,Ain Shams,16,,2028,185,3,1,0,0,0,0,0,0,0,1173980
564,Sheikh Zayed,2,Compound_53,2023,238,5,3,1,0,1,0,0,0,1,14684548
565,Hadayek Al Ahram,7,,2028,171,4,1,0,0,0,0,0,0,0,3168964
566,Hadayek Al Obba,14,,2023,198,1,1,0,0,0,0,0,0,0,1313612
567,Hadayek Al Obba,18,,2024,133,1,1,0,0,0,0,0,0,0,1128407
568,5th Settlement,1,Compound_8,2024,386,6,4,1,0,0,0,0,1,0,15081077
569,Nasr City,10,,2028,234,3,2,0,0,0,0,0,0,0,1998883
570,Hadayek Al Obba,13,,2025,80,1,1,0,0,0,0,0,0,0,1172781
571,Sheikh Zayed,5,Compound_70,2023,289,3,2,0,0,1,1,0,0,0,14943666
572,Hadayek Al Obba,17,,2028,159,3,1,0,0,0,0,0,0,0,1034357
573,Zahraa Al Maadi,6,,2029,265,4,2,0,0,0,0,0,0,0,2416843
574,Hadayek Al Obba,16,,2023,167,1,1,0,0,0,0,0,0,0,1149820
575,Ain Shams,20,,2026,129,2,1,0,0,0,0,0,0,0,1008999
576,Hadayek Al Ahram,6,,2027,271,4,2,0,0,0,0,0,0,0,2060154
577,Hadayek Al Ahram,10,,2027,95,4,2,0,0,0,0,0,0,0,2460378
578,Ain Shams,18,,2025,186,1,1,0,0,0,0,0,0,0,1283839
579,Nasr City,9,,2026,198,3,2,0,0,0,0,0,0,0,2774888
580,Hadayek Al Obba,11,,2029,149,2,1,0,0,0,0,0,0,0,820063
581,Ain Shams,12,,2023,77,1,1,0,0,0,0,0,0,0,1330199
582,Hadayek Al Ahram,7,,2028,273,2,1,0,0,0,0,0,0,0,1752536
583,New Capitol,3,Compound_98,2026,356,5,3,1,0,0,0,1,1,0,6352254
584,Zahraa Al Maadi,9,,2024,270,4,1,0,0,0,0,0,0,0,2163622
585,Ain Shams,12,,2027,121,2,1,0,0,0,0,0,0,0,932146
586,New Capitol,1,Compound_88,2029,164,3,2,0,0,1,1,0,1,0,6390609
587,New Capitol,2,Compound_14,2029,211,3,4,0,0,0,0,0,1,1,4410239
588,Zahraa Al Maadi,6,,2023,102,3,1,0,0,0,0,0,0,0,3773636
589,New Capitol,5,Compound_68,2029,108,4,2,0,0,0,0,0,1,0,8412136
590,Sheikh Zayed,5,Compound_22,2027,374,5,4,0,0,1,0,0,1,0,10425738
591,Ain Shams,11,,2022,175,2,1,0,0,0,0,0,0,0,1237019
592,Zahraa Al Maadi,10,,2024,246,4,1,0,0,0,0,0,0,0,3666157
593,Hadayek Al Obba,12,,2027,101,3,1,0,0,0,0,0,0,0,1088227
594,Zahraa Al Maadi,6,,2023,142,4,2,0,0,0,0,0,0,0,3528552
595,Zahraa Al Maadi,6,,2025,81,4,1,0,0,0,0,0,0,0,2094029
596,Nasr City,9,,2026,289,4,1,0,0,0,0,0,0,0,3847273
597,5th Settlement,1,Compound_95,2029,299,5,3,1,1,0,0,0,0,1,8778714
598,Nasr City,8,,2028,275,2,1,0,0,0,0,0,0,0,3373683
599,Ain Shams,17,,2023,136,3,1,0,0,0,0,0,0,0,1133528
600,Hadayek Al Ahram,8,,2022,138,3,2,0,0,0,0,0,0,0,1724140
601,5th Settlement,2,Compound_89,2028,392,6,2,0,0,0,0,1,0,1,11398514
602,Hadayek Al Obba,12,,2024,117,1,1,0,0,0,0,0,0,0,1212691
603,Hadayek Al Obba,15,,2027,98,2,1,0,0,0,0,0,0,0,932404
604,New Capitol,2,Compound_12,2025,168,3,2,0,1,0,1,0,0,1,11543534
605,Sheikh Zayed,2,Compound_99,2029,102,6,4,0,1,1,0,1,0,0,5035648
606,Sheikh Zayed,1,Compound_15,2024,149,3,2,0,1,0,0,0,1,0,14175071
607,Zahraa Al Maadi,10,,2029,132,2,2,0,0,0,0,0,0,0,2652180
608,Sheikh Zayed,4,Compound_14,2029,341,3,4,0,0,0,0,1,1,0,9427618
609,Nasr City,9,,2028,153,3,2,0,0,0,0,0,0,0,1144562
610,5th Settlement,1,Compound_81,2022,344,6,2,0,1,0,0,1,1,0,5787086
611,Hadayek Al Ahram,9,,2025,175,4,2,0,0,0,0,0,0,0,2349075
612,Nasr City,7,,2023,97,2,1,0,0,0,0,0,0,0,2553871
613,Zahraa Al Maadi,9,,2025,139,2,2,0,0,0,0,0,0,0,3813915
614,Sheikh Zayed,2,Compound_99,2023,275,3,3,0,0,1,0,1,0,1,11549589
615,5th Settlement,5,Compound_8,2022,311,3,2,0,0,0,0,0,0,0,10933044
616,New Capitol,4,Compound_84,2027,256,3,3,1,0,1,1,0,0,0,11309543
617,Ain Shams,11,,2029,193,2,1,0,0,0,0,0,0,0,864536
618,Hadayek Al Obba,11,,2022,175,1,1,0,0,0,0,0,0,0,1343441
619,Ain Shams,14,,2027,117,3,1,0,0,0,0,0,0,0,1034303
620,Ain Shams,15,,2027,73,3,1,0,0,0,0,0,0,0,909782
621,Ain Shams,13,,2027,127,2,1,0,0,0,0,0,0,0,1011053
622,Nasr City,8,,2025,247,2,1,0,0,0,0,0,0,0,2105121
623,Ain Shams,13,,2026,171,1,1,0,0,0,0,0,0,0,1073846
624,5th Settlement,1,Compound_77,2026,163,4,3,0,0,0,0,1,0,0,8538597
625,Ain Shams,14,,2022,160,1,1,0,0,0,0,0,0,0,1082399
626,Sheikh Zayed,5,Compound_8,2029,362,6,2,1,0,0,0,1,0,0,8667918
627,Nasr City,7,,2027,103,4,2,0,0,0,0,0,0,0,1943886
628,Hadayek Al Ahram,10,,2025,179,3,1,0,0,0,0,0,0,0,3752802
629,Zahraa Al Maadi,8,,2024,290,3,1,0,0,0,0,0,0,0,1620468
630,5th Settlement,1,Compound_22,2024,374,6,4,0,1,1,0,1,0,0,6472627
631,Ain Shams,11,,2023,195,2,1,0,0,0,0,0,0,0,1483149
632,Nasr City,6,,2028,121,3,2,0,0,0,0,0,0,0,1743736
633,New Capitol,3,Compound_70,2029,364,3,2,0,1,0,1,0,0,1,9315451
634,Sheikh Zayed,3,Compound_79,2023,238,5,2,0,1,0,0,0,0,0,10273673
635,Ain Shams,14,,2024,70,3,1,0,0,0,0,0,0,0,1266493
636,Sheikh Zayed,4,Compound_64,2029,167,5,4,0,0,0,0,0,0,1,10437437
637,Hadayek Al Obba,11,,2023,122,1,1,0,0,0,0,0,0,0,1401840
638,Ain Shams,14,,2025,136,1,1,0,0,0,0,0,0,0,1134192
639,Nasr City,7,,2027,182,3,2,0,0,0,0,0,0,0,1916635
640,Hadayek Al Obba,19,,2026,90,3,1,0,0,0,0,0,0,0,1122549
641,Hadayek Al Obba,18,,2025,161,2,1,0,0,0,0,0,0,0,1305751
642,Zahraa Al Maadi,7,,2025,255,3,1,0,0,0,0,0,0,0,4002350
643,Ain Shams,18,,2023,105,3,1,0,0,0,0,0,0,0,1360490
644,Zahraa Al Maadi,7,,2027,292,2,2,0,0,0,0,0,0,0,1441149
645,Sheikh Zayed,4,Compound_48,2029,232,6,4,0,0,0,0,1,1,0,7508631
646,Nasr City,9,,2022,213,4,2,0,0,0,0,0,0,0,2121053
647,New Capitol,1,Compound_61,2027,185,3,3,1,0,0,0,0,0,0,7657925
648,Hadayek Al Obba,11,,2025,155,3,1,0,0,0,0,0,0,0,1413719
